bug1,bug2,R2,beta,intercept,weight
Lactobacillus,Prevotella,NA,-1.03054303018107,7.27747578402263,10
Lactobacillus,Gardnerella,NA,-1.00115611298978,6.74479150705008,9
Lactobacillus,Megasphaera,NA,-1.6761449505073,24.9232484278774,8
Lactobacillus,Parvimonas,NA,-0.800708203870509,10.2132588780019,7
Lactobacillus,Clostridium,NA,-1.25279218757563,10.0124525170377,6
Lactobacillus,Porphyromonas,NA,-0.897088123962483,10.8979197851377,5
Lactobacillus,Adlercreutzia,NA,-1.09216541426921,9.91931831804793,4
Lactobacillus,Dialister,NA,-1.12812032862665,9.63474618611874,3
Lactobacillus,Atopobium,NA,-1.29703222625477,9.8496248987301,2
Lactobacillus,Sneathia,NA,-0.949416232040313,8.31803693961476,1
